job_id,job_city,job_industry,job_type,job_ownership,job_req_min_experience,received_callback,race,gender,years_college,worked_during_school,years_experience,computer_skills,special_skills,volunteer,military,employment_gap,has_email_address,resume_quality
384,Chicago,manufacturing,supervisor,unknown,5,0,white,F,4,NO,6,YES,NO,NO,NO,YES,NO,low
384,Chicago,manufacturing,supervisor,unknown,5,0,white,F,3,YES,6,YES,NO,YES,YES,NO,YES,high
384,Chicago,manufacturing,supervisor,unknown,5,0,black,F,4,YES,6,YES,NO,NO,NO,NO,NO,low
384,Chicago,manufacturing,supervisor,unknown,5,0,black,F,3,NO,6,YES,YES,YES,NO,YES,YES,high
385,Chicago,other_service,secretary,nonprofit,0.1,0,white,F,3,YES,22,YES,NO,NO,NO,NO,YES,high
386,Chicago,wholesale_and_retail_trade,sales_rep,private,0,0,white,M,4,NO,6,NO,YES,NO,NO,NO,NO,low
386,Chicago,wholesale_and_retail_trade,sales_rep,private,0,0,white,F,4,YES,5,YES,YES,YES,NO,NO,YES,high
385,Chicago,other_service,secretary,nonprofit,0.1,0,black,F,3,NO,21,YES,YES,YES,NO,YES,YES,high
386,Chicago,wholesale_and_retail_trade,sales_rep,private,0,0,black,F,4,NO,3,YES,YES,NO,NO,NO,NO,low
386,Chicago,wholesale_and_retail_trade,sales_rep,private,0,0,black,M,4,YES,6,NO,YES,YES,NO,NO,YES,high
387,Chicago,other_service,secretary,nonprofit,0.1,0,black,F,4,NO,8,YES,YES,YES,NO,YES,YES,high
387,Chicago,other_service,secretary,nonprofit,0.1,0,white,F,4,YES,8,YES,NO,NO,NO,NO,YES,high
388,Chicago,business_and_personal_service,secretary,private,0,0,black,F,4,NO,4,YES,YES,NO,NO,YES,NO,low
388,Chicago,business_and_personal_service,secretary,private,0,0,white,F,4,YES,4,YES,NO,NO,NO,NO,NO,low
389,Chicago,wholesale_and_retail_trade,sales_rep,unknown,0,0,black,F,4,NO,5,NO,YES,YES,NO,NO,YES,high
389,Chicago,wholesale_and_retail_trade,sales_rep,unknown,0,0,white,M,1,NO,4,YES,YES,NO,NO,NO,NO,low
389,Chicago,wholesale_and_retail_trade,sales_rep,unknown,0,0,white,M,4,YES,5,NO,NO,YES,NO,NO,YES,high
389,Chicago,wholesale_and_retail_trade,sales_rep,unknown,0,0,black,F,4,NO,6,NO,YES,NO,NO,NO,NO,low
390,Chicago,wholesale_and_retail_trade,retail_sales,private,0,0,white,F,4,YES,6,NO,YES,YES,NO,NO,YES,high
390,Chicago,wholesale_and_retail_trade,retail_sales,private,0,0,black,F,2,NO,8,NO,NO,NO,NO,YES,NO,low
390,Chicago,wholesale_and_retail_trade,retail_sales,private,0,0,black,M,4,YES,4,YES,YES,YES,NO,NO,YES,high
390,Chicago,wholesale_and_retail_trade,retail_sales,private,0,0,white,M,4,NO,3,YES,YES,NO,NO,NO,NO,low
392,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,white,F,2,NO,2,NO,NO,NO,NO,NO,NO,low
391,Chicago,other_service,secretary,nonprofit,0.1,0,white,F,4,NO,7,YES,NO,NO,NO,YES,NO,low
392,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,white,M,4,NO,3,YES,YES,YES,NO,NO,YES,high
391,Chicago,other_service,secretary,nonprofit,0.1,0,black,F,4,YES,6,YES,NO,NO,NO,YES,NO,low
392,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,black,F,1,NO,4,YES,YES,YES,NO,NO,YES,high
391,Chicago,other_service,secretary,nonprofit,0.1,0,white,F,3,NO,6,YES,YES,YES,NO,YES,YES,high
391,Chicago,other_service,secretary,nonprofit,0.1,0,black,F,3,YES,7,YES,NO,NO,NO,NO,YES,high
392,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,black,F,4,NO,2,YES,YES,NO,NO,NO,NO,low
393,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,white,F,2,NO,6,YES,NO,NO,NO,NO,NO,low
393,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,black,F,3,YES,6,YES,NO,NO,NO,NO,NO,low
393,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,white,F,3,NO,9,YES,NO,YES,NO,YES,YES,high
393,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,black,F,4,YES,6,YES,NO,NO,NO,YES,YES,high
395,Chicago,manufacturing,manager,unknown,0,0,white,M,2,NO,4,NO,NO,NO,NO,NO,NO,low
394,Chicago,business_and_personal_service,clerical,private,3,0,white,F,3,YES,5,YES,NO,YES,NO,NO,YES,high
394,Chicago,business_and_personal_service,clerical,private,3,0,black,F,4,NO,4,YES,NO,NO,NO,YES,NO,low
395,Chicago,manufacturing,manager,unknown,0,0,black,F,4,NO,3,NO,YES,NO,NO,NO,NO,low
394,Chicago,business_and_personal_service,clerical,private,3,0,black,F,3,YES,4,YES,NO,YES,YES,NO,YES,high
395,Chicago,manufacturing,manager,unknown,0,0,white,F,4,YES,5,NO,YES,YES,NO,NO,YES,high
394,Chicago,business_and_personal_service,clerical,private,3,0,white,F,4,NO,5,YES,NO,NO,NO,YES,NO,low
395,Chicago,manufacturing,manager,unknown,0,0,black,M,4,YES,5,NO,YES,YES,NO,NO,YES,high
396,Chicago,other_service,manager,unknown,2,0,white,F,4,NO,7,YES,NO,YES,NO,YES,YES,high
396,Chicago,other_service,manager,unknown,2,0,white,F,4,YES,6,YES,NO,NO,NO,NO,NO,low
396,Chicago,other_service,manager,unknown,2,0,black,F,4,NO,5,YES,YES,NO,NO,YES,NO,low
396,Chicago,other_service,manager,unknown,2,0,black,F,3,NO,7,YES,NO,YES,NO,YES,YES,high
397,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,white,M,0,NO,4,YES,YES,YES,NO,YES,YES,high
397,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,black,F,4,YES,5,NO,YES,YES,NO,NO,YES,high
398,Chicago,other_service,secretary,public,0,0,white,F,4,NO,4,YES,NO,NO,NO,YES,NO,low
398,Chicago,other_service,secretary,public,0,0,black,F,4,YES,5,YES,YES,NO,NO,NO,YES,high
